region,country,year,forest_cover_pct,annual_loss_pct,annual_loss_ha,risk_level,biodiversity_index,carbon_stock_mt
Central America,Guatemala,2011,78.01055043769483,0.7010445126451044,7306.399425053871,Medium,8.502387129736276,229.90203160954758
Central America,Panama,2012,55.79915553452308,0.4987595953312778,7307.2902285116525,Low,8.728260973423948,178.60709457966797
Amazon,Bolivia,2013,60.265814430548616,0.1921264944422995,1327.8164983513252,Low,9.669140607852487,151.38134165818047
Mekong,Cambodia,2016,67.86627056996953,0.8711778263387673,16421.025288019537,Medium,8.190260057764906,206.42219768373943
Amazon,Bolivia,2016,58.610490199458994,0.14913023499416345,1030.6625694861157,Low,9.71683492361675,198.20062349533453
Central America,El Salvador,2024,56.94211752655044,1.4330421977894316,4193.5040063964325,High,7.4382193255995075,181.8126654708159
West Africa,Benin,2017,75.27758355890482,0.9547528050049237,4779.676394300883,Medium,7.858859912159736,239.66894711338907
Central America,Honduras,2018,74.08977636685353,0.9796752906251951,3911.6671261339698,Medium,7.930927512927178,254.2167848996109
Mekong,Laos,2024,47.39946757836658,0.09430155195472778,3551.842005303539,Low,10.0,140.87553703762643
Atlantic Forest,Argentina,2019,56.61787332945081,0.31091621032880334,5955.019539718332,Low,9.379709642754907,156.7917867613457
Amazon,Bolivia,2015,59.05889372701192,0.450330246913652,3112.3033462631274,Low,9.00973426886,200.96698203433658
Southeast Asia,Philippines,2010,72.20704608706133,0.2175871546195502,4150.859742201675,Low,9.606082040422494,240.04355088186253
Atlantic Forest,Uruguay,2013,67.98391217653352,0.3292607330850379,921.0993085926447,Low,9.26079634732516,215.1175700247165
Amazon,Bolivia,2017,58.21687439865318,1.550454812470972,10715.437690794137,High,6.544304228581444,171.4432031843106
West Africa,Côte d'Ivoire,2021,50.99085613562979,0.5404286524752049,24246.40447639145,Medium,8.42012777645973,153.00016142704908
West Africa,Togo,2014,68.9887720127707,0.6363977880323446,3978.3953048572753,Medium,8.345488753860307,181.43085699569033
Southeast Asia,Thailand,2014,67.19202505545141,0.319882778119983,4120.427555546593,Low,9.796694037145427,223.8350057704983
Atlantic Forest,Argentina,2024,54.03323427967251,0.6580631376411263,12603.97082183986,Medium,8.368921097358541,183.6527290296004
Central America,El Salvador,2018,64.00758512146541,2.471902108686147,7233.514415824827,Critical,4.978733481709567,165.78910035506058
Central America,Costa Rica,2013,62.467870981006335,0.25988777248600686,515.4844576833973,Low,9.830592597594435,204.75625462114172
West Africa,Liberia,2010,65.78310537158269,0.020330427767994985,346.58032963846773,Low,9.820143559058522,205.43134921492828
Mekong,Cambodia,2017,67.3783429428122,0.9237545063243542,17412.05486372835,Medium,8.46917164477312,181.69554662062066
Atlantic Forest,Argentina,2015,58.38462411659883,1.5205749068819907,29123.773483896657,High,6.188453665020585,151.03386832834707
Central America,Belize,2021,43.982840195415754,0.5511654295287464,16582.379771307587,Medium,8.831410801171558,139.4183859742817
Atlantic Forest,Uruguay,2015,65.25506769693189,0.20262967736567933,566.8518501222981,Low,9.634188693567896,187.8111208126573
Amazon,Colombia,2010,79.01925078956211,0.2938506128288755,7470.760347967587,Low,9.423868135891333,273.4567293796797
Southeast Asia,Vietnam,2015,53.05231782941322,0.9062061362492002,26964.358221788425,Medium,7.3611283785821575,178.20892138121778
West Africa,Nigeria,2011,79.57497424254021,0.5431907347566344,3938.9122171404465,Medium,9.515174853702133,248.19878546226516
Atlantic Forest,Brazil (Atlantic),2023,55.42223213167828,0.9419271259953739,30753.868693153814,Medium,7.6888092755235435,176.7282764750827
Daintree,Papua New Guinea,2016,71.40641571196699,0.017223616953950138,849.8002944115641,Low,10.0,240.8365907432443
Southeast Asia,Indonesia,2015,73.21790406117404,1.8106169641541796,10840.781471577186,High,6.382748213015306,236.5840740180689
Amazon,Ecuador,2013,58.57869667975247,0.7346154513068024,6518.5274084564,Medium,9.032623859291734,185.73141880917788
Mekong,Laos,2012,62.6904836992096,0.7266395347521256,27368.678126165527,Medium,9.640465345182852,168.4662275716786
Atlantic Forest,Uruguay,2018,61.79007644429464,0.13462551506693876,376.6117741560749,Low,9.085566727594705,246.6091686410083
Amazon,Colombia,2019,67.61059010419277,0.9320901693465014,23697.15077619865,Medium,7.811362720670749,180.76811516641362
Amazon,Peru,2018,56.52556722192881,0.525998896897218,4994.520570828359,Medium,9.04254845312509,163.32584692378313
Central America,Costa Rica,2024,53.96021232284277,0.2732136207479945,541.9161270104788,Low,8.900896099727616,128.78607144032836
Southeast Asia,Cambodia,2019,82.47833908033213,0.8337523715060514,22262.070503376628,Medium,8.723586560965778,258.21098041638163
Daintree,Solomon Islands,2021,52.69405765410463,0.05093340397035451,330.553014531856,Low,10.0,161.10438170801007
Southeast Asia,Cambodia,2012,86.16027730597422,0.44987443503804436,12012.123422681001,Low,9.37997566792143,273.78636068521786
Congo Basin,Congo,2014,63.126652892450736,0.0490807780589258,2130.589172625564,Low,10.0,154.59864605526354
Southeast Asia,Thailand,2020,61.29805427413455,0.17125507496065268,2205.9459844705816,Low,10.0,206.15227617002228
Congo Basin,CAR,2019,78.08510365192258,0.20622062723600565,1933.0073546989336,Low,9.009746004693557,218.10660292637547
Central America,Honduras,2019,73.16415189827856,0.06540540577454212,261.15201443578144,Low,9.901823286122193,216.51235170755837
